x1,y1,x2,y2,collection,name,bc_type,bc_x,bc_y
-183,0.23,-178.46,0.153,topo,0,s,0,0
-178.46,0.153,-173.921,0.076,topo,1,s,0,0
-173.921,0.076,-169.382,0,topo,2,s,0,0
-169.382,0,-165.678,-0.23,topo,0,s,0,0
-165.678,-0.23,-161.975,-0.461,topo,1,s,0,0
-161.975,-0.461,-159.506,-0.576,topo,2,s,0,0
-159.506,-0.576,-158.641,-0.692,topo,3,s,0,0
-158.641,-0.692,-155.679,-0.23,topo,4,s,0,0
-155.679,-0.23,-151.728,-0.23,topo,5,s,0,0
-151.728,-0.23,-150.123,-0.115,topo,6,s,0,0
-150.123,-0.115,-147.777,-0.576,topo,7,s,0,0
-147.777,-0.576,-146.79,-0.576,topo,8,s,0,0
-146.79,-0.576,-145.185,-0.692,topo,9,s,0,0
-145.185,-0.692,-143.95,-1.153,topo,10,s,0,0
-143.95,-1.153,-142.222,-1.153,topo,11,s,0,0
-142.222,-1.153,-140.864,-0.576,topo,12,s,0,0
-140.864,-0.576,-138.395,-0.923,topo,13,s,0,0
-138.395,-0.923,-136.913,-1.384,topo,14,s,0,0
-136.913,-1.384,-134.938,-1.846,topo,15,s,0,0
-134.938,-1.846,-133.95,-1.961,topo,16,s,0,0
-133.95,-1.961,-129.506,-1.846,topo,17,s,0,0
-129.506,-1.846,-128.518,-2.076,topo,18,s,0,0
-128.518,-2.076,-124.938,-0.923,topo,19,s,0,0
-124.938,-0.923,-123.95,-1.038,topo,20,s,0,0
-123.95,-1.038,-123.086,-1.153,topo,21,s,0,0
-123.086,-1.153,-121.604,-0.923,topo,22,s,0,0
-121.604,-0.923,-120,-0.576,topo,23,s,0,0
-120,-0.576,-118.518,-1.038,topo,24,s,0,0
-118.518,-1.038,-116.79,-0.923,topo,25,s,0,0
-116.79,-0.923,-115.308,-0.923,topo,26,s,0,0
-115.308,-0.923,-113.58,-1.5,topo,27,s,0,0
-113.58,-1.5,-112.098,-1.5,topo,28,s,0,0
-112.098,-1.5,-110.617,-1.038,topo,29,s,0,0
-110.617,-1.038,-108.148,-0.576,topo,30,s,0,0
-108.148,-0.576,-105.925,-0.461,topo,31,s,0,0
-105.925,-0.461,-102.962,-0.692,topo,32,s,0,0
-102.962,-0.692,-100.864,-0.692,topo,33,s,0,0
-100.864,-0.692,-98.888,-0.923,topo,34,s,0,0
-98.888,-0.923,-98.024,-1.038,topo,35,s,0,0
-98.024,-1.038,-95.802,-0.692,topo,36,s,0,0
-95.802,-0.692,-91.975,-1.961,topo,37,s,0,0
-91.975,-1.961,-90.37,-1.615,topo,38,s,0,0
-90.37,-1.615,-88.888,-2.307,topo,39,s,0,0
-88.888,-2.307,-86.543,-2.307,topo,40,s,0,0
-86.543,-2.307,-83.209,-1.038,topo,41,s,0,0
-83.209,-1.038,-80.987,-1.615,topo,42,s,0,0
-80.987,-1.615,-78.765,-1.961,topo,43,s,1,0
-78.765,-1.961,-77.16,-2.307,topo,44,s,0,0
-77.16,-2.307,-74.691,-1.615,topo,45,s,1,0
-74.691,-1.615,-71.851,-2.769,topo,46,s,0,0
-71.851,-2.769,-68.765,-3.23,topo,47,s,0,0
-68.765,-3.23,-66.913,-2.423,topo,48,s,0,0
-66.913,-2.423,-65.185,-2.423,topo,49,s,0,1
-65.185,-2.423,-63.456,-1.615,topo,50,s,0,0
-63.456,-1.615,-62.716,-2.538,topo,51,s,0,0
-62.716,-2.538,-61.481,-2.538,topo,52,s,0,0
-61.481,-2.538,-59.012,-3.807,topo,53,s,1,0
-59.012,-3.807,-57.283,-3.346,topo,54,s,0,0
-57.283,-3.346,-53.95,-3.346,topo,55,s,0,1
-53.95,-3.346,-51.481,-3.749,topo,0,s,0,0
-51.481,-3.749,-49.012,-4.153,topo,1,s,0,0
-49.012,-4.153,-46.666,-3.23,topo,57,s,0,0
-46.666,-3.23,-45.185,-3.923,topo,58,s,0,0
-45.185,-3.923,-42.592,-4.153,topo,59,s,0,0
-42.592,-4.153,-40.617,-3.692,topo,60,s,0,0
-40.617,-3.692,-39.753,-3.807,topo,61,s,1,0
-39.753,-3.807,-38.024,-3.692,topo,62,s,0,0
-38.024,-3.692,-35.802,-4.153,topo,63,s,0,0
-35.802,-4.153,-34.074,-3.923,topo,64,s,1,0
-34.074,-3.923,-32.592,-5.192,topo,65,s,0,0
-32.592,-5.192,-29.876,-4.73,topo,66,s,0,1
-29.876,-4.73,-25.185,-4.384,topo,67,s,0,0
-25.185,-4.384,-20.493,-4.269,topo,68,s,1,0
-20.493,-4.269,-16.666,-4.096,topo,0,s,0,0
-16.666,-4.096,-12.839,-3.923,topo,1,s,0,0
-12.839,-3.923,-9.876,-3.865,topo,0,s,0,0
-9.876,-3.865,-6.913,-3.807,topo,1,s,0,0
-6.913,-3.807,-3.456,-3.865,topo,0,s,0,0
-3.456,-3.865,0,-3.923,topo,1,s,0,0
-147.777,-0.576,-144.937,1.576,mbt,0,s,0,0
-144.937,1.576,-142.098,3.728,mbt,1,s,0,0
-142.098,3.728,-138.271,4.708,mbt,0,s,0,0
-138.271,4.708,-134.444,5.689,mbt,1,s,0,0
-57.283,-3.346,-53.524,-0.193,mct,0,s,1,0
-53.524,-0.193,-49.766,2.959,mct,1,s,1,0
-49.766,2.959,-46.008,6.112,mct,2,s,1,0
-46.008,6.112,-43.58,10.035,mct,0,s,1,0
-43.58,10.035,-41.152,13.958,mct,1,s,1,0
-41.152,13.958,-38.724,17.882,mct,2,s,1,0
-38.724,17.882,-36.007,19.959,mct,0,s,1,0
-36.007,19.959,-33.292,22.036,mct,1,s,1,0
-33.292,22.036,-29.127,23.912,mct,0,s,1,0
-29.127,23.912,-24.962,25.789,mct,1,s,1,0
-24.962,25.789,-20.798,27.666,mct,2,s,1,0
-20.798,27.666,-16.633,29.543,mct,3,s,1,0
-16.633,29.543,-12.469,31.42,mct,4,s,1,0
-45.185,27.728,-49.915,27.209,base,0,s,0,0
-49.915,27.209,-54.645,26.691,base,1,s,0,0
-54.645,26.691,-59.375,26.173,base,2,s,0,0
-59.375,26.173,-64.106,25.655,base,3,s,0,0
-64.106,25.655,-68.836,25.137,base,4,s,0,0
-68.836,25.137,-73.566,24.619,base,5,s,0,0
